DISEASE,MMWR_YEAR,MMWR_WEEK,CURRENT_WEEK,YTD_CASES,AVERAGE_5Y
"Hepatitis B, virus infection perinatal",2014,10,NA,6,1
"Influenza-associated pediatric mortality,",2014,10,3,59,5
Leptospirosis,2014,10,NA,1,0
Listeriosis,2014,10,7,80,10
Measles,2014,10,10,71,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,10,1,24,6
"Meningococcal disease, invasive, serogroup B",2014,10,NA,8,4
"Meningococcal disease, invasive, other serogroup",2014,10,NA,3,0
"Meningococcal disease, invasive, unknown serogroup",2014,10,5,58,8
Novel influenza A virus infections***,2014,10,NA,NA,15
Plague,2014,10,NA,NA,NA
"Poliomyelitis, paralytic",2014,10,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,10,NA,NA,NA
Psittacosis,2014,10,NA,1,0
"Q fever, total",2014,10,NA,10,2
"Q fever, acute",2014,10,NA,7,1
"Q fever, chronic",2014,10,NA,3,1
"Rabies, human",2014,10,NA,NA,NA
Rubella,2014,10,NA,NA,0
"Rubella, congenital syndrome",2014,10,NA,NA,0
SARS-CoV,2014,10,NA,NA,NA
Smallpox,2014,10,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,10,2,23,5
"Syphilis, congenital (age <1 yr)",2014,10,NA,13,7
Tetanus,2014,10,NA,3,0
Toxic-shock syndrome (staphylococcal),2014,10,1,11,1
Trichinellosis,2014,10,NA,1,0
Tularemia,2014,10,1,1,0
Typhoid fever,2014,10,NA,30,7
Vancomycin-intermediate Staphylococcus aureus,2014,10,5,30,2
Vancomycin-resistant Staphylococcus aureus,2014,10,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,10,5,56,6
Viral hemorrhagic fever,2014,10,NA,NA,NA
Yellow fever,2014,10,NA,NA,NA
Anthrax,2014,11,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,11,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,11,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,11,NA,NA,NA
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,11,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,11,NA,NA,NA
"Botulism, total",2014,11,NA,26,2
"Botulism, foodborne",2014,11,NA,NA,0
"Botulism, infant",2014,11,NA,20,2
"Botulism, other (wound and unspecified)",2014,11,NA,6,0
Brucellosis,2014,11,NA,9,2
Chancroid,2014,11,NA,4,1
Cholera,2014,11,NA,NA,0
Cyclosporiasis,2014,11,1,15,1
Diphtheria,2014,11,NA,NA,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,11,NA,4,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,11,NA,35,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,11,5,70,4
Hansen disease,2014,11,NA,5,1
Hantavirus pulmonary syndrome,2014,11,NA,2,0
"Hemolytic uremic syndrome, postdiarrheal",2014,11,1,12,3
"Hepatitis B, virus infection perinatal",2014,11,NA,7,1
"Influenza-associated pediatric mortality,",2014,11,7,66,4
Leptospirosis,2014,11,NA,1,0
Listeriosis,2014,11,2,84,9
Measles,2014,11,5,80,2
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,11,NA,26,7
"Meningococcal disease, invasive, serogroup B",2014,11,NA,13,4
"Meningococcal disease, invasive, other serogroup",2014,11,NA,3,1
"Meningococcal disease, invasive, unknown serogroup",2014,11,2,57,9
Novel influenza A virus infections***,2014,11,NA,NA,15
Plague,2014,11,NA,NA,NA
"Poliomyelitis, paralytic",2014,11,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,11,NA,NA,NA
Psittacosis,2014,11,NA,NA,0
"Q fever, total",2014,11,1,11,2
"Q fever, acute",2014,11,NA,7,1
"Q fever, chronic",2014,11,1,4,0
"Rabies, human",2014,11,NA,NA,0
Rubella,2014,11,NA,NA,0
"Rubella, congenital syndrome",2014,11,NA,NA,0
SARS-CoV,2014,11,NA,NA,NA
Smallpox,2014,11,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,11,1,24,5
Anthrax,2014,14,NA,NA,NA
"Syphilis, congenital (age <1 yr)",2014,11,NA,17,7
Tetanus,2014,11,NA,4,0
Toxic-shock syndrome (staphylococcal),2014,11,3,14,1
Trichinellosis,2014,11,NA,1,0
Tularemia,2014,11,1,2,0
Typhoid fever,2014,11,3,38,6
Vancomycin-intermediate Staphylococcus aureus,2014,11,1,34,2
Vancomycin-resistant Staphylococcus aureus,2014,11,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,11,2,58,6
Viral hemorrhagic fever,2014,11,NA,NA,NA
Yellow fever,2014,11,NA,NA,NA
Anthrax,2014,12,NA,NA,NA
"Rubella, congenital syndrome",2014,12,NA,NA,0
"Arboviral diseases, California serogroup virus disease,",2014,12,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,12,NA,NA,0
"Arboviral diseases, Powassan virus disease,",2014,12,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,12,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,12,NA,NA,NA
"Botulism, total",2014,12,NA,26,3
"Botulism, foodborne",2014,12,NA,NA,0
"Botulism, infant",2014,12,NA,22,2
"Botulism, other (wound and unspecified)",2014,12,NA,4,0
Brucellosis,2014,12,NA,5,2
Chancroid,2014,12,NA,4,1
Cholera,2014,12,NA,NA,0
Cyclosporiasis,2014,12,1,16,1
Diphtheria,2014,12,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,12,NA,4,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,12,1,38,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,12,5,74,5
Hansen disease,2014,12,NA,5,2
Hantavirus pulmonary syndrome,2014,12,NA,2,0
"Hemolytic uremic syndrome, postdiarrheal",2014,12,NA,10,3
"Hepatitis B, virus infection perinatal",2014,12,NA,7,1
"Influenza-associated pediatric mortality,",2014,12,4,70,4
Leptospirosis,2014,12,NA,1,0
Listeriosis,2014,12,1,76,9
Measles,2014,12,4,89,3
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,12,1,28,6
"Meningococcal disease, invasive, serogroup B",2014,12,NA,14,4
SARS-CoV,2014,14,NA,NA,NA
"Meningococcal disease, invasive, other serogroup",2014,12,NA,3,1
"Meningococcal disease, invasive, unknown serogroup",2014,12,NA,62,9
Novel influenza A virus infections***,2014,12,NA,NA,23
Plague,2014,12,NA,NA,NA
"Poliomyelitis, paralytic",2014,12,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,12,NA,NA,NA
Psittacosis,2014,12,NA,NA,0
"Q fever, total",2014,12,1,13,2
"Q fever, acute",2014,12,1,9,1
"Q fever, chronic",2014,12,NA,4,0
"Rabies, human",2014,12,NA,NA,0
Rubella,2014,12,NA,NA,0
SARS-CoV,2014,12,NA,NA,NA
Smallpox,2014,12,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,12,2,30,5
"Syphilis, congenital (age <1 yr)",2014,12,NA,21,7
Tetanus,2014,12,1,5,0
Toxic-shock syndrome (staphylococcal),2014,12,NA,13,1
Trichinellosis,2014,12,NA,1,0
Tularemia,2014,12,NA,2,0
Typhoid fever,2014,12,2,42,6
Vancomycin-intermediate Staphylococcus aureus,2014,12,3,37,3
Vancomycin-resistant Staphylococcus aureus,2014,12,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,12,4,60,6
Viral hemorrhagic fever,2014,12,NA,NA,NA
Yellow fever,2014,12,NA,NA,NA
Anthrax,2014,13,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,13,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,13,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,13,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,13,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,13,NA,NA,NA
"Botulism, total",2014,13,NA,26,2
"Botulism, foodborne",2014,13,NA,NA,0
"Botulism, infant",2014,13,NA,22,2
"Botulism, other (wound and unspecified)",2014,13,NA,4,0
Brucellosis,2014,13,NA,6,2
Chancroid,2014,13,1,5,0
Cholera,2014,13,NA,NA,0
Cyclosporiasis,2014,13,NA,16,1
Diphtheria,2014,13,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,13,NA,5,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,13,2,47,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,13,2,78,4
Hansen disease,2014,13,NA,6,1
Hantavirus pulmonary syndrome,2014,13,NA,2,0
"Hemolytic uremic syndrome, postdiarrheal",2014,13,1,11,3
"Hepatitis B, virus infection perinatal",2014,13,2,9,1
"Influenza-associated pediatric mortality,",2014,13,3,73,3
Leptospirosis,2014,13,NA,1,0
Listeriosis,2014,13,2,81,9
Measles,2014,13,9,106,3
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,13,NA,29,6
"Meningococcal disease, invasive, serogroup B",2014,13,NA,14,3
"Meningococcal disease, invasive, other serogroup",2014,13,NA,3,1
"Meningococcal disease, invasive, unknown serogroup",2014,13,6,75,8
Novel influenza A virus infections***,2014,13,NA,NA,21
Plague,2014,13,NA,NA,NA
"Poliomyelitis, paralytic",2014,13,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,13,NA,NA,NA
Psittacosis,2014,13,NA,NA,0
"Q fever, total",2014,13,1,15,2
"Q fever, acute",2014,13,NA,10,1
"Q fever, chronic",2014,13,1,5,0
"Rabies, human",2014,13,NA,NA,0
Rubella,2014,13,NA,NA,0
"Rubella, congenital syndrome",2014,13,NA,NA,0
SARS-CoV,2014,13,NA,NA,NA
Smallpox,2014,13,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,13,NA,31,5
"Syphilis, congenital (age <1 yr)",2014,13,NA,25,7
Tetanus,2014,13,NA,5,1
Toxic-shock syndrome (staphylococcal),2014,13,NA,14,1
Trichinellosis,2014,13,NA,1,0
Tularemia,2014,13,NA,2,1
Typhoid fever,2014,13,1,50,7
Vancomycin-intermediate Staphylococcus aureus,2014,13,NA,45,3
Vancomycin-resistant Staphylococcus aureus,2014,13,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,13,5,65,7
Viral hemorrhagic fever,2014,13,NA,NA,NA
Yellow fever,2014,13,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,14,NA,NA,NA
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,14,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,14,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,14,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,14,NA,NA,NA
"Botulism, total",2014,14,NA,27,3
"Botulism, foodborne",2014,14,NA,NA,0
"Botulism, infant",2014,14,NA,23,2
"Botulism, other (wound and unspecified)",2014,14,NA,4,0
Brucellosis,2014,14,NA,5,2
Chancroid,2014,14,NA,5,1
Cholera,2014,14,NA,NA,0
Cyclosporiasis,2014,14,1,17,1
Diphtheria,2014,14,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,14,NA,6,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,14,NA,47,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,14,4,83,4
Hansen disease,2014,14,5,11,2
Hantavirus pulmonary syndrome,2014,14,NA,2,0
"Hemolytic uremic syndrome, postdiarrheal",2014,14,2,13,3
"Hepatitis B, virus infection perinatal",2014,14,NA,9,1
"Influenza-associated pediatric mortality,",2014,14,3,76,3
Leptospirosis,2014,14,NA,1,0
Listeriosis,2014,14,6,87,10
Measles,2014,14,1,108,3
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,14,1,34,6
"Meningococcal disease, invasive, serogroup B",2014,14,NA,16,4
"Meningococcal disease, invasive, other serogroup",2014,14,NA,4,1
"Meningococcal disease, invasive, unknown serogroup",2014,14,5,82,8
Novel influenza A virus infections***,2014,14,NA,NA,28
Plague,2014,14,NA,NA,0
"Poliomyelitis, paralytic",2014,14,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,14,NA,NA,NA
Psittacosis,2014,14,NA,NA,0
"Q fever, total",2014,14,1,17,2
"Q fever, acute",2014,14,1,10,2
"Q fever, chronic",2014,14,NA,7,0
"Rabies, human",2014,14,NA,NA,0
Rubella,2014,14,NA,NA,0
"Rubella, congenital syndrome",2014,14,NA,NA,0
Streptococcal toxic-shock syndrome,2014,14,NA,35,5
"Syphilis, congenital (age <1 yr)",2014,14,NA,23,7
Tetanus,2014,14,NA,5,1
Toxic-shock syndrome (staphylococcal),2014,14,NA,14,1
Trichinellosis,2014,14,NA,1,0
Tularemia,2014,14,NA,2,1
Typhoid fever,2014,14,2,52,6
Vancomycin-intermediate Staphylococcus aureus,2014,14,3,52,3
Vancomycin-resistant Staphylococcus aureus,2014,14,NA,NA,0
Vibriosis (noncholera Vibrio species infections),2014,14,2,68,8
Viral hemorrhagic fever,2014,14,NA,NA,NA
Yellow fever,2014,14,NA,NA,NA
Anthrax,2014,15,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,15,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,15,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,15,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,15,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,15,NA,NA,NA
"Botulism, total",2014,15,NA,27,2
"Botulism, foodborne",2014,15,NA,NA,0
"Botulism, infant",2014,15,NA,23,2
"Botulism, other (wound and unspecified)",2014,15,NA,4,0
Brucellosis,2014,15,NA,5,3
Chancroid,2014,15,1,5,0
Cholera,2014,15,NA,NA,0
Cyclosporiasis,2014,15,NA,17,1
Diphtheria,2014,15,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,15,NA,6,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,15,NA,51,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,15,2,91,4
Hansen disease,2014,15,NA,11,2
Hantavirus pulmonary syndrome,2014,15,NA,2,1
"Hemolytic uremic syndrome, postdiarrheal",2014,15,2,18,3
"Hepatitis B, virus infection perinatal",2014,15,NA,9,1
"Influenza-associated pediatric mortality,",2014,15,1,77,2
Leptospirosis,2014,15,NA,1,0
Listeriosis,2014,15,2,92,10
Measles,2014,15,2,112,4
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,15,1,39,6
"Meningococcal disease, invasive, serogroup B",2014,15,1,18,3
"Meningococcal disease, invasive, other serogroup",2014,15,NA,4,1
"Meningococcal disease, invasive, unknown serogroup",2014,15,2,88,8
Novel influenza A virus infections***,2014,15,NA,NA,71
Plague,2014,15,NA,NA,0
"Poliomyelitis, paralytic",2014,15,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,15,NA,NA,NA
Psittacosis,2014,15,NA,NA,0
"Q fever, total",2014,15,NA,19,2
"Q fever, acute",2014,15,NA,12,2
"Q fever, chronic",2014,15,NA,7,0
"Rabies, human",2014,15,NA,NA,0
Rubella,2014,15,NA,NA,0
"Rubella, congenital syndrome",2014,15,NA,NA,NA
SARS-CoV,2014,15,NA,NA,NA
Smallpox,2014,15,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,15,3,42,5
"Syphilis, congenital (age <1 yr)",2014,15,NA,27,6
Tetanus,2014,15,NA,5,1
Toxic-shock syndrome (staphylococcal),2014,15,NA,16,1
Trichinellosis,2014,15,NA,1,0
Tularemia,2014,15,NA,3,1
Typhoid fever,2014,15,NA,56,6
Vancomycin-intermediate Staphylococcus aureus,2014,15,1,56,4
Vancomycin-resistant Staphylococcus aureus,2014,15,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,15,8,79,9
Viral hemorrhagic fever,2014,15,NA,NA,NA
Yellow fever,2014,15,NA,NA,NA
Anthrax,2014,16,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,16,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,16,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,16,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,16,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,16,NA,NA,NA
"Botulism, total",2014,16,NA,27,3
"Botulism, foodborne",2014,16,NA,NA,0
"Botulism, infant",2014,16,NA,23,2
"Botulism, other (wound and unspecified)",2014,16,NA,4,0
Brucellosis,2014,16,3,8,3
Chancroid,2014,16,NA,5,0
Cholera,2014,16,NA,NA,0
Cyclosporiasis,2014,16,NA,17,1
Diphtheria,2014,16,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,16,NA,7,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,16,NA,54,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,16,1,97,4
Hansen disease,2014,16,2,14,2
Hantavirus pulmonary syndrome,2014,16,NA,4,1
"Hemolytic uremic syndrome, postdiarrheal",2014,16,NA,18,4
"Hepatitis B, virus infection perinatal",2014,16,1,10,1
"Influenza-associated pediatric mortality,",2014,16,3,80,2
Leptospirosis,2014,16,NA,1,NA
Listeriosis,2014,16,9,100,11
Measles,2014,16,NA,120,4
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,16,NA,39,5
"Meningococcal disease, invasive, serogroup B",2014,16,NA,20,3
"Meningococcal disease, invasive, other serogroup",2014,16,NA,4,0
"Meningococcal disease, invasive, unknown serogroup",2014,16,NA,93,8
Novel influenza A virus infections***,2014,16,NA,NA,123
Plague,2014,16,NA,NA,0
"Poliomyelitis, paralytic",2014,16,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,16,NA,NA,NA
Psittacosis,2014,16,NA,NA,0
"Q fever, total",2014,16,NA,21,3
"Q fever, acute",2014,16,NA,14,2
"Q fever, chronic",2014,16,NA,7,0
"Rabies, human",2014,16,NA,NA,0
Rubella,2014,16,NA,NA,0
"Rubella, congenital syndrome",2014,16,NA,NA,NA
SARS-CoV,2014,16,NA,NA,NA
Smallpox,2014,16,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,16,1,44,4
"Syphilis, congenital (age <1 yr)",2014,16,NA,29,6
Tetanus,2014,16,NA,5,1
Toxic-shock syndrome (staphylococcal),2014,16,NA,16,1
Trichinellosis,2014,16,NA,1,0
Tularemia,2014,16,1,4,2
Typhoid fever,2014,16,4,68,7
Vancomycin-intermediate Staphylococcus aureus,2014,16,2,60,3
Vancomycin-resistant Staphylococcus aureus,2014,16,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,16,3,84,10
Viral hemorrhagic fever,2014,16,NA,NA,NA
Yellow fever,2014,16,NA,NA,NA
Anthrax,2014,17,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,17,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,17,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,17,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,17,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,17,NA,NA,NA
"Botulism, total",2014,17,1,30,3
"Botulism, foodborne",2014,17,NA,NA,0
"Botulism, infant",2014,17,1,26,2
"Botulism, other (wound and unspecified)",2014,17,NA,4,0
Brucellosis,2014,17,NA,10,3
Chancroid,2014,17,NA,4,0
Cholera,2014,17,NA,NA,0
Cyclosporiasis,2014,17,NA,17,1
Diphtheria,2014,17,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,17,NA,7,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,17,1,58,4
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,17,2,100,4
Hansen disease,2014,17,NA,15,2
Hantavirus pulmonary syndrome,2014,17,NA,4,1
"Hemolytic uremic syndrome, postdiarrheal",2014,17,1,22,4
"Hepatitis B, virus infection perinatal",2014,17,NA,10,1
"Influenza-associated pediatric mortality,",2014,17,2,82,2
Leptospirosis,2014,17,NA,1,0
Listeriosis,2014,17,5,110,11
Measles,2014,17,14,134,5
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,17,NA,39,5
"Meningococcal disease, invasive, serogroup B",2014,17,1,21,3
"Meningococcal disease, invasive, other serogroup",2014,17,NA,5,0
"Meningococcal disease, invasive, unknown serogroup",2014,17,3,97,7
Novel influenza A virus infections***,2014,17,NA,NA,174
Plague,2014,17,NA,NA,0
"Poliomyelitis, paralytic",2014,17,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,17,NA,NA,NA
Psittacosis,2014,17,NA,NA,0
"Q fever, total",2014,17,3,25,3
"Q fever, acute",2014,17,2,16,3
"Q fever, chronic",2014,17,1,9,0
"Rabies, human",2014,17,NA,NA,0
Rubella,2014,17,NA,NA,0
"Rubella, congenital syndrome",2014,17,NA,NA,NA
SARS-CoV,2014,17,NA,NA,NA
Smallpox,2014,17,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,17,NA,45,5
"Syphilis, congenital (age <1 yr)",2014,17,NA,30,6
Tetanus,2014,17,NA,5,0
Toxic-shock syndrome (staphylococcal),2014,17,NA,16,1
Trichinellosis,2014,17,NA,1,1
Tularemia,2014,17,1,6,2
Typhoid fever,2014,17,2,73,7
Vancomycin-intermediate Staphylococcus aureus,2014,17,NA,60,3
Vancomycin-resistant Staphylococcus aureus,2014,17,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,17,7,91,11
Viral hemorrhagic fever,2014,17,NA,NA,NA
Yellow fever,2014,17,NA,NA,NA
Anthrax,2014,18,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,18,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,18,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,18,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,18,NA,NA,0
"Arboviral diseases, Western equine encephalitis virus disease,",2014,18,NA,NA,NA
"Botulism, total",2014,18,NA,34,3
"Botulism, foodborne",2014,18,NA,NA,0
"Botulism, infant",2014,18,NA,29,2
"Botulism, other (wound and unspecified)",2014,18,NA,5,0
Brucellosis,2014,18,NA,11,3
Chancroid,2014,18,NA,5,0
Cholera,2014,18,NA,NA,0
Cyclosporiasis,2014,18,NA,17,2
Diphtheria,2014,18,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,18,NA,7,1
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,18,NA,59,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,18,3,107,4
Hansen disease,2014,18,NA,16,2
Hantavirus pulmonary syndrome,2014,18,NA,4,1
"Hemolytic uremic syndrome, postdiarrheal",2014,18,NA,24,4
"Hepatitis B, virus infection perinatal",2014,18,1,13,1
"Influenza-associated pediatric mortality,",2014,18,NA,82,2
Leptospirosis,2014,18,NA,2,0
Listeriosis,2014,18,8,124,11
Measles,2014,18,20,161,5
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,18,NA,41,5
"Meningococcal disease, invasive, serogroup B",2014,18,1,22,3
"Meningococcal disease, invasive, other serogroup",2014,18,NA,5,0
"Meningococcal disease, invasive, unknown serogroup",2014,18,7,110,7
Novel influenza A virus infections***,2014,18,NA,NA,256
Plague,2014,18,NA,NA,0
"Poliomyelitis, paralytic",2014,18,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,18,NA,NA,NA
Psittacosis,2014,18,NA,NA,0
"Q fever, total",2014,18,1,33,3
Smallpox,2014,23,NA,NA,NA
"Q fever, acute",2014,18,NA,23,3
"Q fever, chronic",2014,18,1,10,0
"Rabies, human",2014,18,NA,NA,0
Rubella,2014,18,NA,1,0
"Rubella, congenital syndrome",2014,18,NA,NA,NA
SARS-CoV,2014,18,NA,NA,NA
Smallpox,2014,18,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,18,1,53,4
"Syphilis, congenital (age <1 yr)",2014,18,NA,23,5
Tetanus,2014,18,NA,5,0
Toxic-shock syndrome (staphylococcal),2014,18,NA,16,1
Trichinellosis,2014,18,1,2,0
Tularemia,2014,18,NA,6,3
Typhoid fever,2014,18,2,85,6
Vancomycin-intermediate Staphylococcus aureus,2014,18,1,62,3
Vancomycin-resistant Staphylococcus aureus,2014,18,NA,NA,NA
Vibriosis (noncholera Vibrio species infections),2014,18,3,102,11
Viral hemorrhagic fever,2014,18,NA,NA,NA
Yellow fever,2014,18,NA,NA,NA
Anthrax,2014,19,NA,NA,NA
"Arboviral diseases, California serogroup virus disease,",2014,19,NA,NA,0
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,19,NA,NA,NA
"Arboviral diseases, Powassan virus disease,",2014,19,NA,NA,0
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,19,NA,NA,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,19,NA,NA,NA
"Botulism, total",2014,19,NA,34,2
"Botulism, foodborne",2014,19,NA,NA,0
"Botulism, infant",2014,19,NA,29,2
"Botulism, other (wound and unspecified)",2014,19,NA,5,0
Brucellosis,2014,19,1,12,3
Chancroid,2014,19,NA,6,0
Cholera,2014,19,NA,NA,0
Cyclosporiasis,2014,19,1,20,2
Diphtheria,2014,19,NA,NA,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,19,NA,8,0
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,19,NA,64,5
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,19,3,106,4
Hansen disease,2014,19,NA,16,2
Hantavirus pulmonary syndrome,2014,19,NA,4,1
"Hemolytic uremic syndrome, postdiarrheal",2014,19,2,26,5
SARS-CoV,2014,39,NA,NA,NA
"Hepatitis B, virus infection perinatal",2014,19,NA,13,1
"Influenza-associated pediatric mortality,",2014,19,3,85,2
Leptospirosis,2014,19,NA,4,0
Listeriosis,2014,19,9,133,12
Measles,2014,19,27,188,5
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,19,NA,44,5
"Meningococcal disease, invasive, serogroup B",2014,19,NA,24,3
"Meningococcal disease, invasive, other serogroup",2014,19,NA,5,0
"Meningococcal disease, invasive, unknown serogroup",2014,19,6,114,7
Novel influenza A virus infections***,2014,19,NA,NA,328
Plague,2014,19,NA,NA,0
"Poliomyelitis, paralytic",2014,19,NA,NA,NA
"Polio virus Infection, nonparalytic",2014,19,NA,NA,NA
Psittacosis,2014,19,NA,NA,0
"Q fever, total",2014,19,NA,34,3
"Q fever, acute",2014,19,NA,24,3
"Q fever, chronic",2014,19,NA,10,0
"Rabies, human",2014,19,NA,NA,0
Rubella,2014,19,NA,1,0
"Rubella, congenital syndrome",2014,19,NA,NA,NA
SARS-CoV,2014,19,NA,NA,NA
Smallpox,2014,19,NA,NA,NA
Streptococcal toxic-shock syndrome,2014,19,NA,54,5
"Syphilis, congenital (age <1 yr)",2014,19,NA,39,6
Tetanus,2014,19,1,6,1
Toxic-shock syndrome (staphylococcal),2014,19,NA,16,2
Trichinellosis,2014,19,NA,2,0
Tularemia,2014,19,3,9,4
Typhoid fever,2014,19,3,88,7
Vancomycin-intermediate Staphylococcus aureus,2014,19,1,66,3
