DISEASE,MMWR_YEAR,MMWR_WEEK,TOTAL_CASES
"Rabies, human",2014,12,NA
Rubella,2014,12,9
SARS-CoV,2014,12,NA
Smallpox,2014,12,NA
Streptococcal toxic-shock syndrome,2014,12,142
"Syphilis, congenital (age <1 yr)",2014,12,234
Tetanus,2014,12,24
Toxic-shock syndrome (staphylococcal),2014,12,68
Trichinellosis,2014,12,19
Tularemia,2014,12,203
Typhoid fever,2014,12,325
Vancomycin-intermediate Staphylococcus aureus,2014,12,224
Vancomycin-resistant Staphylococcus aureus,2014,12,NA
Vibriosis (noncholera Vibrio species infections),2014,12,1159
Viral hemorrhagic fever,2014,12,NA
Yellow fever,2014,12,NA
Anthrax,2014,13,NA
"Arboviral diseases, California serogroup virus disease,",2014,13,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,13,7
"Arboviral diseases, Powassan virus disease,",2014,13,14
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,13,NA
"Arboviral diseases, Western equine encephalitis virus disease,",2014,13,NA
"Botulism, total",2014,13,148
"Botulism, foodborne",2014,13,7
"Botulism, infant",2014,13,127
"Botulism, other (wound and unspecified)",2014,13,14
Brucellosis,2014,13,104
Chancroid,2014,13,11
Cholera,2014,13,2
Cyclosporiasis,2014,13,768
Diphtheria,2014,13,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,13,24
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,13,203
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,13,204
Hansen disease,2014,13,74
Hantavirus pulmonary syndrome,2014,13,15
"Hemolytic uremic syndrome, postdiarrheal",2014,13,256
"Hepatitis B, virus infection perinatal",2014,13,61
"Influenza-associated pediatric mortality,",2014,13,164
Leptospirosis,2014,13,NA
Listeriosis,2014,13,695
Measles,2014,13,189
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,13,128
"Meningococcal disease, invasive, serogroup B",2014,13,87
"Meningococcal disease, invasive, other serogroup",2014,13,16
"Meningococcal disease, invasive, unknown serogroup",2014,13,303
Novel influenza A virus infections***,2014,13,21
Plague,2014,13,4
"Poliomyelitis, paralytic",2014,13,1
"Polio virus Infection, nonparalytic",2014,13,NA
Psittacosis,2014,13,6
"Q fever, total",2014,13,162
"Q fever, acute",2014,13,122
"Q fever, chronic",2014,13,40
"Rabies, human",2014,13,NA
Rubella,2014,13,10
"Rubella, congenital syndrome",2014,13,1
SARS-CoV,2014,13,NA
Smallpox,2014,13,NA
Streptococcal toxic-shock syndrome,2014,13,143
"Syphilis, congenital (age <1 yr)",2014,13,237
Tetanus,2014,13,24
Toxic-shock syndrome (staphylococcal),2014,13,68
Trichinellosis,2014,13,19
Tularemia,2014,13,204
Typhoid fever,2014,13,321
Vancomycin-intermediate Staphylococcus aureus,2014,13,224
Vancomycin-resistant Staphylococcus aureus,2014,13,NA
Vibriosis (noncholera Vibrio species infections),2014,13,1160
Viral hemorrhagic fever,2014,13,NA
Yellow fever,2014,13,NA
"Arboviral diseases, California serogroup virus disease,",2014,14,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,14,7
"Arboviral diseases, Powassan virus disease,",2014,14,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,14,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,14,NA
"Botulism, total",2014,14,148
"Botulism, foodborne",2014,14,6
"Botulism, infant",2014,14,128
"Botulism, other (wound and unspecified)",2014,14,14
Brucellosis,2014,14,106
Chancroid,2014,14,11
Cholera,2014,14,2
Cyclosporiasis,2014,14,787
Diphtheria,2014,14,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,14,21
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,14,197
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,14,213
Hansen disease,2014,14,74
Hantavirus pulmonary syndrome,2014,14,15
"Hemolytic uremic syndrome, postdiarrheal",2014,14,263
"Hepatitis B, virus infection perinatal",2014,14,60
"Influenza-associated pediatric mortality,",2014,14,164
Leptospirosis,2014,14,NA
Listeriosis,2014,14,697
Measles,2014,14,189
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,14,122
"Meningococcal disease, invasive, serogroup B",2014,14,83
"Meningococcal disease, invasive, other serogroup",2014,14,15
"Meningococcal disease, invasive, unknown serogroup",2014,14,313
Novel influenza A virus infections***,2014,14,21
Plague,2014,14,4
"Poliomyelitis, paralytic",2014,14,1
"Polio virus Infection, nonparalytic",2014,14,NA
Psittacosis,2014,14,6
"Q fever, total",2014,14,162
"Q fever, acute",2014,14,122
"Q fever, chronic",2014,14,40
"Rabies, human",2014,14,NA
Rubella,2014,14,10
"Rubella, congenital syndrome",2014,14,1
Streptococcal toxic-shock syndrome,2014,14,143
"Syphilis, congenital (age <1 yr)",2014,14,245
Tetanus,2014,14,24
Toxic-shock syndrome (staphylococcal),2014,14,70
Trichinellosis,2014,14,19
Tularemia,2014,14,204
Typhoid fever,2014,14,322
Vancomycin-intermediate Staphylococcus aureus,2014,14,224
Vancomycin-resistant Staphylococcus aureus,2014,14,NA
Vibriosis (noncholera Vibrio species infections),2014,14,1162
Viral hemorrhagic fever,2014,14,NA
Yellow fever,2014,14,NA
Anthrax,2014,15,NA
"Arboviral diseases, California serogroup virus disease,",2014,15,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,15,7
"Arboviral diseases, Powassan virus disease,",2014,15,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,15,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,15,NA
"Botulism, total",2014,15,149
"Botulism, foodborne",2014,15,6
"Botulism, infant",2014,15,129
"Botulism, other (wound and unspecified)",2014,15,14
Brucellosis,2014,15,103
Chancroid,2014,15,11
Cholera,2014,15,3
Cyclosporiasis,2014,15,792
Diphtheria,2014,15,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,15,21
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,15,197
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,15,214
Hansen disease,2014,15,72
Hantavirus pulmonary syndrome,2014,15,15
"Hemolytic uremic syndrome, postdiarrheal",2014,15,263
"Hepatitis B, virus infection perinatal",2014,15,59
"Influenza-associated pediatric mortality,",2014,15,164
Leptospirosis,2014,15,NA
Listeriosis,2014,15,709
Measles,2014,15,189
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,15,122
"Meningococcal disease, invasive, serogroup B",2014,15,86
"Meningococcal disease, invasive, other serogroup",2014,15,15
"Meningococcal disease, invasive, unknown serogroup",2014,15,313
Novel influenza A virus infections***,2014,15,21
Plague,2014,15,4
"Poliomyelitis, paralytic",2014,15,1
"Polio virus Infection, nonparalytic",2014,15,NA
Psittacosis,2014,15,6
"Q fever, total",2014,15,160
"Q fever, acute",2014,15,121
"Q fever, chronic",2014,15,39
"Rabies, human",2014,15,NA
Rubella,2014,15,10
"Rubella, congenital syndrome",2014,15,1
SARS-CoV,2014,15,NA
Smallpox,2014,15,NA
Streptococcal toxic-shock syndrome,2014,15,143
"Syphilis, congenital (age <1 yr)",2014,15,251
Tetanus,2014,15,24
Toxic-shock syndrome (staphylococcal),2014,15,69
Trichinellosis,2014,15,19
Tularemia,2014,15,200
Typhoid fever,2014,15,333
Vancomycin-intermediate Staphylococcus aureus,2014,15,228
Vancomycin-resistant Staphylococcus aureus,2014,15,NA
Vibriosis (noncholera Vibrio species infections),2014,15,1179
Viral hemorrhagic fever,2014,15,NA
Yellow fever,2014,15,NA
Anthrax,2014,16,NA
"Arboviral diseases, California serogroup virus disease,",2014,16,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,16,7
"Arboviral diseases, Powassan virus disease,",2014,16,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,16,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,16,NA
"Botulism, total",2014,16,149
"Botulism, foodborne",2014,16,5
"Botulism, infant",2014,16,130
"Botulism, other (wound and unspecified)",2014,16,14
Brucellosis,2014,16,103
Chancroid,2014,16,11
Cholera,2014,16,3
Cyclosporiasis,2014,16,792
Diphtheria,2014,16,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,16,20
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,16,194
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,16,222
Hansen disease,2014,16,72
Hantavirus pulmonary syndrome,2014,16,15
"Hemolytic uremic syndrome, postdiarrheal",2014,16,282
"Hepatitis B, virus infection perinatal",2014,16,58
"Influenza-associated pediatric mortality,",2014,16,164
Leptospirosis,2014,16,NA
Listeriosis,2014,16,709
Measles,2014,16,189
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,16,126
"Meningococcal disease, invasive, serogroup B",2014,16,89
"Meningococcal disease, invasive, other serogroup",2014,16,15
"Meningococcal disease, invasive, unknown serogroup",2014,16,311
Novel influenza A virus infections***,2014,16,21
Plague,2014,16,4
"Poliomyelitis, paralytic",2014,16,1
"Polio virus Infection, nonparalytic",2014,16,NA
Psittacosis,2014,16,6
"Q fever, total",2014,16,162
"Q fever, acute",2014,16,123
"Q fever, chronic",2014,16,39
"Rabies, human",2014,16,NA
Rubella,2014,16,10
"Rubella, congenital syndrome",2014,16,1
SARS-CoV,2014,16,NA
Smallpox,2014,16,NA
Streptococcal toxic-shock syndrome,2014,16,144
"Syphilis, congenital (age <1 yr)",2014,16,248
Tetanus,2014,16,24
Toxic-shock syndrome (staphylococcal),2014,16,70
Trichinellosis,2014,16,19
Tularemia,2014,16,200
Typhoid fever,2014,16,336
Vancomycin-intermediate Staphylococcus aureus,2014,16,227
Vancomycin-resistant Staphylococcus aureus,2014,16,NA
Vibriosis (noncholera Vibrio species infections),2014,16,1182
Viral hemorrhagic fever,2014,16,NA
Yellow fever,2014,16,NA
Anthrax,2014,17,NA
"Arboviral diseases, California serogroup virus disease,",2014,17,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,17,7
"Arboviral diseases, Powassan virus disease,",2014,17,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,17,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,17,NA
"Botulism, total",2014,17,149
"Botulism, foodborne",2014,17,5
"Botulism, infant",2014,17,130
"Botulism, other (wound and unspecified)",2014,17,14
Brucellosis,2014,17,104
Chancroid,2014,17,11
Cholera,2014,17,3
Cyclosporiasis,2014,17,792
Diphtheria,2014,17,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,17,20
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,17,194
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,17,222
Hansen disease,2014,17,72
Hantavirus pulmonary syndrome,2014,17,15
"Hemolytic uremic syndrome, postdiarrheal",2014,17,282
"Hepatitis B, virus infection perinatal",2014,17,58
"Influenza-associated pediatric mortality,",2014,17,164
Leptospirosis,2014,17,NA
Listeriosis,2014,17,709
Measles,2014,17,189
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,17,126
"Meningococcal disease, invasive, serogroup B",2014,17,89
"Meningococcal disease, invasive, other serogroup",2014,17,15
"Meningococcal disease, invasive, unknown serogroup",2014,17,311
Novel influenza A virus infections***,2014,17,21
Plague,2014,17,4
"Poliomyelitis, paralytic",2014,17,1
"Polio virus Infection, nonparalytic",2014,17,NA
Psittacosis,2014,17,6
"Q fever, total",2014,17,161
"Q fever, acute",2014,17,122
"Q fever, chronic",2014,17,39
"Rabies, human",2014,17,NA
Rubella,2014,17,10
"Rubella, congenital syndrome",2014,17,1
SARS-CoV,2014,17,NA
Smallpox,2014,17,NA
Streptococcal toxic-shock syndrome,2014,17,144
"Syphilis, congenital (age <1 yr)",2014,17,252
Tetanus,2014,17,24
Toxic-shock syndrome (staphylococcal),2014,17,70
Trichinellosis,2014,17,19
Tularemia,2014,17,200
Typhoid fever,2014,17,336
Vancomycin-intermediate Staphylococcus aureus,2014,17,226
Vancomycin-resistant Staphylococcus aureus,2014,17,NA
Vibriosis (noncholera Vibrio species infections),2014,17,1182
Viral hemorrhagic fever,2014,17,NA
Yellow fever,2014,17,NA
Anthrax,2014,18,NA
"Arboviral diseases, California serogroup virus disease,",2014,18,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,18,7
"Arboviral diseases, Powassan virus disease,",2014,18,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,18,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,18,NA
"Botulism, total",2014,18,152
"Botulism, foodborne",2014,18,5
"Botulism, infant",2014,18,133
"Botulism, other (wound and unspecified)",2014,18,14
Brucellosis,2014,18,104
Chancroid,2014,18,11
Cholera,2014,18,3
Cyclosporiasis,2014,18,792
Diphtheria,2014,18,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,18,20
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,18,200
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,18,216
Hansen disease,2014,18,74
Hantavirus pulmonary syndrome,2014,18,15
"Hemolytic uremic syndrome, postdiarrheal",2014,18,289
"Hepatitis B, virus infection perinatal",2014,18,60
"Influenza-associated pediatric mortality,",2014,18,164
Leptospirosis,2014,18,NA
Listeriosis,2014,18,707
Measles,2014,18,186
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,18,132
"Meningococcal disease, invasive, serogroup B",2014,18,92
"Meningococcal disease, invasive, other serogroup",2014,18,16
"Meningococcal disease, invasive, unknown serogroup",2014,18,303
Novel influenza A virus infections***,2014,18,21
Plague,2014,18,4
"Poliomyelitis, paralytic",2014,18,1
"Polio virus Infection, nonparalytic",2014,18,NA
Psittacosis,2014,18,6
"Q fever, total",2014,18,164
Smallpox,2014,23,NA
"Q fever, acute",2014,18,125
"Q fever, chronic",2014,18,39
"Rabies, human",2014,18,NA
Rubella,2014,18,11
"Rubella, congenital syndrome",2014,18,1
SARS-CoV,2014,18,NA
Smallpox,2014,18,NA
Streptococcal toxic-shock syndrome,2014,18,204
"Syphilis, congenital (age <1 yr)",2014,18,180
Tetanus,2014,18,24
Toxic-shock syndrome (staphylococcal),2014,18,72
Trichinellosis,2014,18,19
Tularemia,2014,18,202
Typhoid fever,2014,18,338
Vancomycin-intermediate Staphylococcus aureus,2014,18,236
Vancomycin-resistant Staphylococcus aureus,2014,18,NA
Vibriosis (noncholera Vibrio species infections),2014,18,1190
Viral hemorrhagic fever,2014,18,NA
Yellow fever,2014,18,NA
Anthrax,2014,19,NA
"Arboviral diseases, California serogroup virus disease,",2014,19,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,19,7
"Arboviral diseases, Powassan virus disease,",2014,19,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,19,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,19,NA
"Botulism, total",2014,19,153
"Botulism, foodborne",2014,19,4
"Botulism, infant",2014,19,135
"Botulism, other (wound and unspecified)",2014,19,14
Brucellosis,2014,19,104
Chancroid,2014,19,10
Cholera,2014,19,3
Cyclosporiasis,2014,19,787
Diphtheria,2014,19,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,19,27
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,19,210
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,19,201
Hansen disease,2014,19,75
Hantavirus pulmonary syndrome,2014,19,15
"Hemolytic uremic syndrome, postdiarrheal",2014,19,292
SARS-CoV,2014,39,NA
"Hepatitis B, virus infection perinatal",2014,19,53
"Influenza-associated pediatric mortality,",2014,19,164
Leptospirosis,2014,19,NA
Listeriosis,2014,19,729
Measles,2014,19,186
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,19,141
"Meningococcal disease, invasive, serogroup B",2014,19,98
"Meningococcal disease, invasive, other serogroup",2014,19,18
"Meningococcal disease, invasive, unknown serogroup",2014,19,306
Novel influenza A virus infections***,2014,19,21
Plague,2014,19,4
"Poliomyelitis, paralytic",2014,19,1
"Polio virus Infection, nonparalytic",2014,19,NA
Psittacosis,2014,19,6
"Q fever, total",2014,19,163
"Q fever, acute",2014,19,122
"Q fever, chronic",2014,19,41
"Rabies, human",2014,19,NA
Rubella,2014,19,10
"Rubella, congenital syndrome",2014,19,1
SARS-CoV,2014,19,NA
Smallpox,2014,19,NA
Streptococcal toxic-shock syndrome,2014,19,206
"Syphilis, congenital (age <1 yr)",2014,19,187
Tetanus,2014,19,25
Toxic-shock syndrome (staphylococcal),2014,19,72
Trichinellosis,2014,19,19
Tularemia,2014,19,203
Typhoid fever,2014,19,336
Vancomycin-intermediate Staphylococcus aureus,2014,19,243
Vancomycin-resistant Staphylococcus aureus,2014,19,NA
Vibriosis (noncholera Vibrio species infections),2014,19,1196
Viral hemorrhagic fever,2014,19,NA
Yellow fever,2014,19,NA
Anthrax,2014,20,NA
"Arboviral diseases, California serogroup virus disease,",2014,20,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,20,7
"Arboviral diseases, Powassan virus disease,",2014,20,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,20,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,20,NA
"Botulism, total",2014,20,151
"Botulism, foodborne",2014,20,4
"Botulism, infant",2014,20,135
"Botulism, other (wound and unspecified)",2014,20,12
Brucellosis,2014,20,102
Chancroid,2014,20,11
Cholera,2014,20,3
Cyclosporiasis,2014,20,786
Diphtheria,2014,20,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,20,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,20,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,20,185
Hansen disease,2014,20,81
Hantavirus pulmonary syndrome,2014,20,15
"Hemolytic uremic syndrome, postdiarrheal",2014,20,326
"Hepatitis B, virus infection perinatal",2014,20,45
"Influenza-associated pediatric mortality,",2014,20,164
Leptospirosis,2014,20,NA
Listeriosis,2014,20,731
Measles,2014,20,185
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,20,142
"Meningococcal disease, invasive, serogroup B",2014,20,98
"Meningococcal disease, invasive, other serogroup",2014,20,18
"Meningococcal disease, invasive, unknown serogroup",2014,20,301
Novel influenza A virus infections***,2014,20,21
Plague,2014,20,4
"Poliomyelitis, paralytic",2014,20,1
"Polio virus Infection, nonparalytic",2014,20,NA
Psittacosis,2014,20,6
"Q fever, total",2014,20,160
"Q fever, acute",2014,20,121
"Q fever, chronic",2014,20,39
"Rabies, human",2014,20,NA
Rubella,2014,20,10
"Rubella, congenital syndrome",2014,20,1
SARS-CoV,2014,20,NA
Smallpox,2014,20,NA
Streptococcal toxic-shock syndrome,2014,20,223
"Syphilis, congenital (age <1 yr)",2014,20,294
Tetanus,2014,20,25
Toxic-shock syndrome (staphylococcal),2014,20,72
Trichinellosis,2014,20,20
Tularemia,2014,20,202
Typhoid fever,2014,20,339
Vancomycin-intermediate Staphylococcus aureus,2014,20,244
Vancomycin-resistant Staphylococcus aureus,2014,20,NA
Vibriosis (noncholera Vibrio species infections),2014,20,1199
Viral hemorrhagic fever,2014,20,NA
Yellow fever,2014,20,NA
Anthrax,2014,21,NA
"Arboviral diseases, California serogroup virus disease,",2014,21,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,21,7
"Arboviral diseases, Powassan virus disease,",2014,21,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,21,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,21,NA
"Botulism, total",2014,21,151
"Botulism, foodborne",2014,21,4
"Botulism, infant",2014,21,135
"Botulism, other (wound and unspecified)",2014,21,12
Brucellosis,2014,21,102
Chancroid,2014,21,10
Cholera,2014,21,4
Cyclosporiasis,2014,21,786
Diphtheria,2014,21,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,21,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,21,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,21,185
Hansen disease,2014,21,81
Hantavirus pulmonary syndrome,2014,21,16
"Hemolytic uremic syndrome, postdiarrheal",2014,21,326
"Hepatitis B, virus infection perinatal",2014,21,45
"Influenza-associated pediatric mortality,",2014,21,164
Leptospirosis,2014,21,NA
Listeriosis,2014,21,731
Measles,2014,21,185
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,21,142
"Meningococcal disease, invasive, serogroup B",2014,21,98
"Meningococcal disease, invasive, other serogroup",2014,21,18
"Meningococcal disease, invasive, unknown serogroup",2014,21,301
Novel influenza A virus infections***,2014,21,21
Plague,2014,21,4
"Poliomyelitis, paralytic",2014,21,1
"Polio virus Infection, nonparalytic",2014,21,NA
Psittacosis,2014,21,6
"Q fever, total",2014,21,154
"Q fever, acute",2014,21,121
"Q fever, chronic",2014,21,33
"Rabies, human",2014,21,NA
Rubella,2014,21,10
"Rubella, congenital syndrome",2014,21,1
SARS-CoV,2014,21,NA
Smallpox,2014,21,NA
Streptococcal toxic-shock syndrome,2014,21,223
"Syphilis, congenital (age <1 yr)",2014,21,341
Tetanus,2014,21,25
Toxic-shock syndrome (staphylococcal),2014,21,72
Trichinellosis,2014,21,20
Tularemia,2014,21,202
Typhoid fever,2014,21,339
Vancomycin-intermediate Staphylococcus aureus,2014,21,244
Vancomycin-resistant Staphylococcus aureus,2014,21,NA
Vibriosis (noncholera Vibrio species infections),2014,21,1199
Viral hemorrhagic fever,2014,21,NA
Yellow fever,2014,21,NA
Anthrax,2014,22,NA
"Arboviral diseases, California serogroup virus disease,",2014,22,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,22,7
"Arboviral diseases, Powassan virus disease,",2014,22,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,22,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,22,NA
"Botulism, total",2014,22,152
"Botulism, foodborne",2014,22,4
"Botulism, infant",2014,22,136
"Botulism, other (wound and unspecified)",2014,22,12
Brucellosis,2014,22,100
Chancroid,2014,22,10
Cholera,2014,22,4
Cyclosporiasis,2014,22,784
Diphtheria,2014,22,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,22,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,22,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,22,185
Hansen disease,2014,22,81
Hantavirus pulmonary syndrome,2014,22,16
"Hemolytic uremic syndrome, postdiarrheal",2014,22,329
"Hepatitis B, virus infection perinatal",2014,22,50
"Influenza-associated pediatric mortality,",2014,22,164
Leptospirosis,2014,22,NA
Listeriosis,2014,22,730
Measles,2014,22,186
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,22,142
"Meningococcal disease, invasive, serogroup B",2014,22,98
"Meningococcal disease, invasive, other serogroup",2014,22,18
"Meningococcal disease, invasive, unknown serogroup",2014,22,301
Novel influenza A virus infections***,2014,22,21
Plague,2014,22,4
"Poliomyelitis, paralytic",2014,22,1
"Polio virus Infection, nonparalytic",2014,22,NA
Psittacosis,2014,22,6
"Q fever, total",2014,22,153
"Q fever, acute",2014,22,120
"Q fever, chronic",2014,22,33
"Rabies, human",2014,22,NA
Rubella,2014,22,9
"Rubella, congenital syndrome",2014,22,1
SARS-CoV,2014,22,NA
Smallpox,2014,22,NA
Streptococcal toxic-shock syndrome,2014,22,223
"Syphilis, congenital (age <1 yr)",2014,22,341
Tetanus,2014,22,26
Toxic-shock syndrome (staphylococcal),2014,22,73
Trichinellosis,2014,22,20
Tularemia,2014,22,202
Typhoid fever,2014,22,338
Vancomycin-intermediate Staphylococcus aureus,2014,22,244
Vancomycin-resistant Staphylococcus aureus,2014,22,NA
Vibriosis (noncholera Vibrio species infections),2014,22,1199
Viral hemorrhagic fever,2014,22,NA
Yellow fever,2014,22,NA
Anthrax,2014,23,NA
"Arboviral diseases, California serogroup virus disease,",2014,23,85
Smallpox,2014,39,NA
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,23,7
"Arboviral diseases, Powassan virus disease,",2014,23,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,23,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,23,NA
"Botulism, total",2014,23,152
"Botulism, foodborne",2014,23,4
"Botulism, infant",2014,23,136
"Botulism, other (wound and unspecified)",2014,23,12
Brucellosis,2014,23,100
Chancroid,2014,23,10
Cholera,2014,23,4
Cyclosporiasis,2014,23,784
Diphtheria,2014,23,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,23,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,23,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,23,185
Hansen disease,2014,23,81
Hantavirus pulmonary syndrome,2014,23,16
"Hemolytic uremic syndrome, postdiarrheal",2014,23,329
"Hepatitis B, virus infection perinatal",2014,23,50
"Influenza-associated pediatric mortality,",2014,23,164
Leptospirosis,2014,23,NA
Listeriosis,2014,23,730
Measles,2014,23,186
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,23,142
"Meningococcal disease, invasive, serogroup B",2014,23,98
"Meningococcal disease, invasive, other serogroup",2014,23,18
"Meningococcal disease, invasive, unknown serogroup",2014,23,301
Novel influenza A virus infections***,2014,23,21
Plague,2014,23,4
"Poliomyelitis, paralytic",2014,23,1
"Polio virus Infection, nonparalytic",2014,23,NA
Psittacosis,2014,23,6
"Q fever, total",2014,23,153
"Q fever, acute",2014,23,121
"Q fever, chronic",2014,23,32
"Rabies, human",2014,23,NA
Rubella,2014,23,9
"Rubella, congenital syndrome",2014,23,1
SARS-CoV,2014,23,NA
Streptococcal toxic-shock syndrome,2014,23,223
"Syphilis, congenital (age <1 yr)",2014,23,340
Tetanus,2014,23,26
Toxic-shock syndrome (staphylococcal),2014,23,71
Trichinellosis,2014,23,20
Tularemia,2014,23,202
Typhoid fever,2014,23,338
Vancomycin-intermediate Staphylococcus aureus,2014,23,244
Vancomycin-resistant Staphylococcus aureus,2014,23,NA
Vibriosis (noncholera Vibrio species infections),2014,23,1199
Viral hemorrhagic fever,2014,23,NA
Yellow fever,2014,23,NA
Anthrax,2014,24,NA
"Arboviral diseases, California serogroup virus disease,",2014,24,85
"Arboviral diseases, Eastern equine encephalitis virus disease,",2014,24,8
"Arboviral diseases, Powassan virus disease,",2014,24,15
"Arboviral diseases, St. Louis encephalitis virus disease,",2014,24,1
"Arboviral diseases, Western equine encephalitis virus disease,",2014,24,NA
"Botulism, total",2014,24,152
"Botulism, foodborne",2014,24,4
"Botulism, infant",2014,24,136
"Botulism, other (wound and unspecified)",2014,24,12
Brucellosis,2014,24,99
Chancroid,2014,24,10
Cholera,2014,24,4
Cyclosporiasis,2014,24,784
Diphtheria,2014,24,NA
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,24,31
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,24,222
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,24,184
Hansen disease,2014,24,81
Hantavirus pulmonary syndrome,2014,24,16
"Hemolytic uremic syndrome, postdiarrheal",2014,24,329
"Hepatitis B, virus infection perinatal",2014,24,50
"Influenza-associated pediatric mortality,",2014,24,164
Leptospirosis,2014,24,NA
Listeriosis,2014,24,730
Measles,2014,24,187
"Meningococcal disease, invasive, A, C, Y, and W-135",2014,24,142
"Q fever, acute",2014,26,121
"Meningococcal disease, invasive, serogroup B",2014,24,99
